"Colegio","Barrio","Distrito","Latitud","Longitud","Plazas_2012.2013","Plazas_2013.2014","Plazas_2014.2015","Plazas_2015.2016","Plazas_2016.2017","Admisiones_2012.2013","Solicitudes_2012.2013","Admisiones_2013.2014","Solicitudes_2013.2014","Admisiones_2014.2015","Solicitudes_2014.2015","Admisiones_2015.2016","Solicitudes_2015.2016","Admisiones_2016.2017","Solicitudes_2016.2017","PobxBarrio_2012.2013","PobxBarrio_2013.2014","PobxBarrio_2014.2015","PobxBarrio_2015.2016","PobxBarrio_2016.2017","PobxBarrio_2017.2018","Admisiones_2017.2018","Solicitudes_2017.2018"
"José Ortega y Gasset","CASTILLEJOS","Tetuán",40.4616034174,-3.69420002964,430,446,418,409,431,37,37,18,31,16,16,6,13,11,39,616,620,640,668,656,706,7.43436623993741,23.2820189582078
"Josep Tarradellas","VALVERDE","Fuencarral - El Pardo",40.509734261,-3.6704522713,63,144,262,401,526,4,4,18,18,17,17,8,18,1,17,3919,4312,4790,5169,5600,6012,3.20561142571324,17.1022356060771
"Jovellanos","LAS AGUILAS","Latina",40.3792700965,-3.78301487902,226,215,231,246,245,4,4,7,7,4,5,2,3,5,5,2437,2438,2485,2466,2439,2387,2.9043144397959,4.50087452828617
"Juan de la Cierva","LOS ROSALES","Villaverde",40.3544360092,-3.69046192373,630,638,621,605,612,12,30,6,22,1,23,0,27,0,29,2387,2401,2401,2426,2412,2312,0,26.3474698623972
"Juan Gris","CASCO H.VALLECAS","Villa de Vallecas",40.372633463,-3.61734513763,369,336,318,314,307,1,4,0,11,2,18,1,9,2,14,4656,4947,5295,5566,6055,6485,0.784224596493368,12.4725136724255
"Juan Ramón Jiménez","VALDEACEDERAS","Tetuán",40.4632785625,-3.70322872272,122,129,113,119,129,6,6,6,6,3,3,1,2,0,3,1148,1174,1221,1204,1266,1276,0.378243882351549,2.9541636927145
"Juan Sebastián Elcano","MOSCARDO","Usera",40.3890438232,-3.70476527262,294,283,297,300,308,3,9,4,10,8,13,5,13,0,13,1176,1178,1256,1297,1299,1250,1.37033090735982,12.587903135737
"Juan Zaragüeta","VALDEFUENTES","Hortaleza",40.472109787,-3.63100740247,280,285,287,296,298,7,10,3,5,9,12,0,9,0,4,3861,4140,4400,4746,5271,5661,0.262723789151134,6.71124893857301
"Julián Besteiro","ABRANTES","Carabanchel",40.3805927414,-3.72812068068,373,381,358,337,319,15,23,10,12,6,12,1,7,0,12,1771,1860,1954,2071,2173,2117,0.489964778384786,10.3917686520087
"Julián Marías","ROSAS","San Blas - Canillejas",40.4271443275,-3.60257676981,469,477,465,441,448,2,9,7,18,5,14,2,11,5,15,3455,3333,3152,2908,2641,2355,3.08333645871846,13.7048625637339
"La Alameda","CANILLEJAS","San Blas - Canillejas",40.437537235,-3.60841158119,196,212,215,216,227,4,4,4,4,10,10,1,1,NA,NA,1350,1394,1411,1442,1444,1431,NA,NA
"La Dehesa del Príncipe","CAMPAMENTO","Latina",40.379772095,-3.79395296851,244,241,272,271,264,5,5,4,6,6,9,4,5,2,2,833,860,905,936,923,922,2.57230978028677,4.25916764016344
"La Latina","ALUCHE","Latina",40.3888878676,-3.76202457611,260,280,278,288,299,2,4,8,16,8,14,12,13,3,10,2752,2758,2833,2798,2857,2856,4.9363014189408,12.0415399839305
"La Rioja","PALOMERAS SURESTE","Puente de Vallecas",40.3881486289,-3.63700955081,293,289,283,284,270,6,7,5,7,6,15,0,4,8,13,2240,2253,2269,2300,2280,2248,2.49785683407477,9.05699705525325
"Legado Crespo","ACACIAS","Arganzuela",40.4048058643,-3.70391614612,173,163,149,137,139,10,12,2,5,7,13,6,12,9,11,1646,1594,1554,1485,1448,1420,5.30691700343425,10.8111602406427
"Leopoldo Alas","VENTAS","Ciudad Lineal",40.4282464576,-3.65343253071,237,233,230,245,261,7,8,8,8,4,4,8,8,6,6,2101,2139,2152,2168,2106,2077,5.01842829741643,6.2820917744903
"Leopoldo Calvo Sotelo","VALVERDE","Fuencarral - El Pardo",40.5008331676,-3.67514332164,244,345,462,588,714,13,14,9,9,23,26,13,17,9,25,3919,4312,4790,5169,5600,6012,9.00684743436896,20.1409169028039
"Lepanto","VALDEZARZA","Moncloa - Aravaca",40.4684390227,-3.72104730287,289,292,294,296,290,2,6,0,3,2,3,0,4,0,6,1360,1378,1409,1404,1372,1357,0,4.36578532292786
"Lope de Vega","SAN ISIDRO","Carabanchel",40.3946054626,-3.7232402249,230,231,254,252,289,8,8,8,8,4,4,2,4,NA,NA,1897,1928,1994,2031,1996,1987,NA,NA
"Lorenzo Luzuriaga","LA PAZ","Fuencarral - El Pardo",40.4866486266,-3.70160832091,262,262,268,262,275,4,4,12,13,2,3,12,13,1,7,1258,1226,1231,1245,1246,1324,2.48787380675002,7.76366678127128
"Los Almendros","CASCO H.VICALVARO","Vicálvaro",40.3962911422,-3.62577420388,285,260,265,271,257,6,6,1,5,5,6,1,2,1,3,4385,4598,4834,5005,4910,4888,0.925695819048478,3.36554730808103
"Los Rosales","BUTARQUE","Villaverde",40.351753905,-3.67783463445,285,275,305,326,336,8,8,1,3,4,4,2,5,4,7,1278,1473,1653,1808,1936,2072,2.01501987158472,5.25094727002348
"Loyola de Palacio","CASCO H.VALLECAS","Villa de Vallecas",40.3606425012,-3.59845108712,306,333,400,434,485,8,12,4,18,14,19,0,11,7,15,4656,4947,5295,5566,6055,6485,2.90866117090047,14.6353006110861
"Luis Bello","PROSPERIDAD","Chamartín",40.4436806015,-3.67354527263,98,100,104,113,100,3,3,4,4,0,0,0,0,6,6,1412,1412,1445,1453,1460,1518,1.27275538064798,1.89061994231434
"Luis Cernuda","CANILLAS","Hortaleza",40.4613154044,-3.65398874536,159,161,152,131,133,5,8,6,6,9,10,1,2,2,2,1918,1899,1918,1902,1881,1865,2.12208057295938,3.42995440527647
"Luis de Góngora","EL PILAR","Fuencarral - El Pardo",40.4745973035,-3.71441244598,160,156,145,135,145,4,4,4,4,1,1,0,1,1,3,1666,1662,1716,1735,1805,1819,0.243999208584769,1.97175912366065
"Madrid Sur","PALOMERAS BAJAS","Puente de Vallecas",40.3765775542,-3.65534800367,269,265,267,269,262,0,18,2,36,6,34,0,18,0,27,2550,2433,2317,2198,2120,2061,0.297695709928599,25.8110895437486
"Maestro Padilla","BUENAVISTA","Carabanchel",40.3626409159,-3.74737215976,0,43,146,248,353,NA,NA,3,3,2,7,2,9,6,26,3151,3396,3651,3794,4005,4182,NA,NA
"Manuel Bartolomé Cossío","LAS AGUILAS","Latina",40.381354986,-3.77172949655,293,295,296,293,295,2,13,2,13,0,12,2,11,1,16,2437,2438,2485,2466,2439,2387,0.521379389298472,13.2227955377895
"Manuel de Falla","SAN ANDRES","Villaverde",40.3462549882,-3.70550895275,163,160,150,149,157,2,6,2,6,6,12,4,10,2,5,2596,2637,2716,2764,2800,2837,2.42467462157717,7.57046782181336
"Manuel Núñez de Arenas","ENTREVIAS","Puente de Vallecas",40.3752528307,-3.66174334696,110,88,73,85,106,NA,NA,2,2,1,1,1,1,15,15,1920,1874,1888,1907,1867,1882,NA,NA
"Manuel Sáinz de Vicuña","MARROQUINA","Moratalaz",40.4094369606,-3.64998593265,442,446,439,441,440,10,13,21,30,4,16,10,12,10,19,1404,1323,1268,1161,1126,1099,7.1778338613407,16.824975328737
"Marcelo Usera","ALMENDRALES","Usera",40.3871562007,-3.69960873366,150,147,160,163,157,2,2,6,6,7,7,2,4,0,3,1161,1174,1191,1249,1227,1194,0.906530496259265,4.21925245916941
"Margaret Thatcher","TIMON","Barajas",40.4704771976,-3.590459755,NA,0,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,5,5,673,681,701,739,773,841,NA,NA
"María Moliner","ARCOS","San Blas - Canillejas",40.4221740208,-3.6191180462,430,421,423,406,386,14,15,8,11,6,6,12,13,5,5,1809,1802,1775,1643,1563,1528,5.82206909995458,7.71707542047034
"Mariano José de Larra","ROSAS","San Blas - Canillejas",40.4306153281,-3.60897403379,413,413,421,429,439,2,14,7,14,6,11,6,10,5,19,3455,3333,3152,2908,2641,2355,4.6884702834632,13.6715356707646
"Marqués de Marcenado","IMPERIAL","Arganzuela",40.4103704921,-3.72048608485,103,99,103,122,129,6,6,4,4,9,9,4,4,4,4,1130,1102,1084,1080,1065,1059,3.7007783189266,4.79894836835421
"Marqués de Suanzes","EL SALVADOR","San Blas - Canillejas",40.4430907873,-3.62455717055,460,469,462,441,437,6,25,12,21,2,11,1,14,9,14,763,685,623,565,538,481,3.36346012449541,14.0645350346782
"Martínez Montañés","PAVONES","Moratalaz",40.4019135421,-3.63391036022,179,173,164,154,141,1,2,7,7,4,9,3,5,4,5,532,544,531,475,478,447,2.9716784459063,5.81257509215482
"Méjico (México)","SAN PASCUAL","Ciudad Lineal",40.4434865151,-3.65080904918,93,88,99,109,110,9,9,3,3,5,5,4,4,5,5,857,850,866,841,886,866,3.43827440501358,4.49323216124083
"Méndez Núñez","APOSTOL SANTIAGO","Hortaleza",40.4789769486,-3.65963430597,93,83,87,88,95,9,9,5,5,5,5,7,7,3,3,852,844,798,780,740,702,3.54806685190445,4.655392887542
"Menéndez Pelayo","PALOS DE MOGUER","Arganzuela",40.4055751031,-3.69139669544,327,266,291,305,286,10,10,0,4,12,14,9,9,2,8,914,945,982,1005,988,915,3.29159623708412,8.7242679897991
"Menéndez Pidal","FONTARRON","Moratalaz",40.4005402439,-3.64115651744,205,179,160,147,154,3,3,4,5,5,5,1,1,7,11,740,745,770,772,831,868,2.85431248202125,4.90568942666647
"Meseta de Orcasitas","ORCASITAS","Usera",40.371945354,-3.71052379889,434,443,453,432,453,2,11,6,15,9,11,2,11,0,7,1503,1580,1675,1750,1738,1757,1.18588300144783,9.6032159159449
"Mesonero Romanos","PORTAZGO","Puente de Vallecas",40.3936844307,-3.64437893119,279,276,270,279,284,5,13,5,8,6,9,2,5,3,5,1375,1415,1488,1516,1507,1470,2.59877828546915,6.03925476386802
"Miguel Blasco Vilatela","PUEBLO NUEVO","Ciudad Lineal",40.4293465714,-3.63218728824,299,293,321,318,336,7,17,15,19,9,13,3,15,6,16,2936,2871,2928,2875,2881,2935,4.38177244058454,15.3618346698331
"Miguel de Unamuno","DELICIAS","Arganzuela",40.3942833118,-3.69347283089,564,561,570,570,571,15,30,8,16,12,24,13,19,8,19,1391,1445,1467,1467,1523,1482,8.18059756521041,19.6790329881856
"Miguel Servet","SAN ISIDRO","Carabanchel",40.3940963714,-3.73680878654,294,301,320,303,306,4,18,12,19,9,31,0,12,3,22,1897,1928,1994,2031,1996,1987,1.74322915049471,19.4765312901616
"Mirasierra","MIRASIERRA","Fuencarral - El Pardo",40.4911390355,-3.7141984472,415,410,410,429,430,9,9,19,21,13,13,17,22,14,33,2470,2373,2354,2339,2482,2593,11.3511365121988,22.9088078582669
"Monte de El Pardo","EL PARDO","Fuencarral - El Pardo",40.5171572686,-3.7742643107,128,132,131,137,143,1,1,6,6,3,3,1,1,1,2,129,127,130,123,149,159,1.0054866586119,2.12306946725434
"Navas de Tolosa","SAN CRISTOBAL","Villaverde",40.3443404473,-3.68529600432,291,310,282,255,260,2,3,6,6,3,3,0,2,2,3,1001,1049,1104,1111,1100,1125,0.968817210534906,2.92365235581904
"Nuestra Señora de la Almudena","IBIZA","Retiro",40.4190156144,-3.67787272233,158,144,151,162,169,5,5,8,8,1,2,7,8,4,5,893,925,929,977,989,957,3.13090304990086,5.21857069801752
"Nuestra Señora de la Concepción","CONCEPCION","Ciudad Lineal",40.4371484214,-3.65005228804,156,134,133,130,118,5,6,7,7,5,6,6,6,5,5,953,980,981,987,988,998,4.36694140836415,5.69319761607611
"Nuestra Señora de la Fuencisla","ALMENDRALES","Usera",40.3802003664,-3.69825268858,264,277,304,288,301,4,11,10,14,3,18,2,13,0,11,1161,1174,1191,1249,1227,1194,0.57125600705834,13.1079981177047
"Nuestra Señora de la Luz","SAN ANDRES","Villaverde",40.3436597271,-3.70561142986,139,126,137,136,149,1,1,0,0,5,5,1,2,1,3,2596,2637,2716,2764,2800,2837,0.713199023654568,2.51267674240675
"Nuestra Señora de la Paloma","PALACIO","Centro",40.4110845197,-3.71138315098,280,284,300,287,286,20,22,6,10,10,16,7,20,1,9,752,779,790,754,718,698,2.472197987541,13.1698026401756
"Nuestra Señora del Lucero","LOS CARMENES","Latina",40.4024206807,-3.74104766559,412,421,404,404,375,8,8,5,15,3,6,5,12,1,4,1025,1013,1028,1035,1024,989,1.71432866726076,7.16709982323006
"Pablo Picasso","PINAR DEL REY","Hortaleza",40.4707862667,-3.64715611626,315,343,365,372,366,7,11,3,15,8,13,0,7,2,12,2490,2535,2584,2539,2557,2514,1.05917189254531,10.7168431134069
"Padre Coloma","CANILLEJAS","San Blas - Canillejas",40.4484849631,-3.61489005717,132,153,162,154,161,5,5,2,4,7,11,1,5,0,10,1350,1394,1411,1442,1444,1431,0.295846584378639,7.60039093810436
"Padre Mariana","ENTREVIAS","Puente de Vallecas",40.377035594,-3.67130262626,128,138,141,147,141,2,4,11,13,3,10,3,4,0,7,1920,1874,1888,1907,1867,1882,0.899850742177214,6.88972802533507
"Padre Poveda","CIUDAD JARDIN","Chamartín",40.451218875,-3.66772403678,246,257,262,265,273,10,18,7,7,6,7,5,6,11,17,791,817,829,841,834,830,5.99875465436701,9.73086856368853
"Palacio Valdés","CORTES","Centro",40.4105569975,-3.69292091402,105,106,102,105,111,4,4,3,3,1,1,1,1,4,4,313,305,303,304,282,248,1.50659572948855,2.17999851730703
"Palomeras Bajas","PALOMERAS BAJAS","Puente de Vallecas",40.3791948487,-3.66086304264,298,300,298,302,299,5,10,3,14,8,22,4,29,1,19,2550,2433,2317,2198,2120,2061,1.59183392472073,21.3167595351117
"Parque Aluche","ALUCHE","Latina",40.3908315783,-3.76099785058,246,224,223,220,256,3,3,5,5,5,6,2,2,3,5,2752,2758,2833,2798,2857,2856,2.22566225766558,4.07381488826687
"Parque Eugenia de Montijo","VISTA ALEGRE","Carabanchel",40.3783744698,-3.75236411272,144,141,152,151,148,0,1,1,2,3,9,1,5,2,3,2067,2055,2086,2157,2176,2148,1.11774901464342,4.26741847620027
"Pasamonte","MARROQUINA","Moratalaz",40.4122677609,-3.64803308855,278,281,290,292,298,10,10,9,9,15,15,18,19,3,6,1404,1323,1268,1161,1126,1099,6.43118347444557,10.8410279181539
"Patriarca Obispo Eijo y Garay","EL VISO","Chamartín",40.4396963472,-3.68161769683,108,128,141,155,153,2,2,7,7,7,12,7,9,6,9,812,815,821,821,843,847,4.9784376607142,9.1500638708715
"Pedro Duque","CASCO H.VICALVARO","Vicálvaro",40.3972184516,-3.60730613197,481,500,508,503,504,1,10,7,24,3,13,0,14,0,11,4385,4598,4834,5005,4910,4888,0.146841468259724,13.2917695242421
"Perú","COMILLAS","Carabanchel",40.3937935566,-3.71326316581,501,472,454,462,440,8,8,5,5,3,3,7,10,0,8,898,893,922,936,933,928,1.07078020008861,6.84137423240832
"Pi I Margall","UNIVERSIDAD","Centro",40.4267928878,-3.70458150498,118,94,99,110,122,5,5,6,6,6,6,0,0,3,3,898,918,963,976,974,944,1.67452235386254,2.43303827661544
"Pinar del Rey","PINAR DEL REY","Hortaleza",40.4716202449,-3.65424206261,255,280,269,292,291,6,6,12,12,8,8,8,9,10,11,2490,2535,2584,2539,2557,2514,7.26890824435475,9.76318155723277
"Pinar de San José","BUENAVISTA","Carabanchel",40.3630163806,-3.76435955979,586,636,614,612,622,8,16,19,22,6,12,7,13,1,4,3151,3396,3651,3794,4005,4182,3.0394440852215,8.93823925615823
"Pintor Rosales","EL VISO","Chamartín",40.4446237951,-3.67863696871,146,205,214,248,248,13,16,20,20,11,14,16,16,8,8,812,815,821,821,843,847,9.62946401265625,12.3079065613444
"Pío Baroja","VINATEROS","Moratalaz",40.4035400189,-3.63794419299,241,240,252,261,262,6,6,14,14,8,10,2,4,8,10,703,712,753,735,763,782,4.4732222935682,8.04271289910108
"Pío XII","ALMENARA","Tetuán",40.466938595,-3.69388929191,230,225,231,226,246,27,36,25,28,13,18,16,20,20,23,1040,1024,981,975,992,1014,14.6150926535956,21.6100194839188
"Plácido Domingo","ATOCHA","Arganzuela",40.3972934,-3.6781883,76,150,249,349,466,6,6,11,15,7,7,2,9,3,7,113,115,109,108,100,95,2.46450561494258,8.19948717036676
"Portugal","ARGUELLES","Moncloa - Aravaca",40.4249186518,-3.71491214478,109,90,106,98,108,5,5,4,4,9,9,6,6,3,3,860,849,844,822,837,848,3.77883571942451,4.8818987190077
"Pradolongo","ZOFIO","Usera",40.378930663,-3.71583943805,319,315,326,322,320,13,16,13,15,13,13,3,12,0,12,753,722,734,716,722,708,1.31313726020008,12.5392342593243
"Príncipe de Asturias","EL GOLOSO","Fuencarral - El Pardo",40.5415687934,-3.69681982425,296,292,297,293,294,6,16,3,15,6,31,3,34,3,20,1391,1558,1793,2033,2193,2392,2.2110229457728,24.7497956680838
"Puerto Rico","ORCASITAS","Usera",40.3679444994,-3.71939806383,288,309,306,313,317,0,12,0,14,2,16,1,15,0,13,1503,1580,1675,1750,1738,1757,0.206427871647961,14.2356920449114
"Rabindranath Tagore","LA PAZ","Fuencarral - El Pardo",40.483097533,-3.69590803716,239,225,235,244,261,6,11,6,10,7,8,1,2,6,17,1258,1226,1231,1245,1246,1324,2.98984073296258,8.02321263928388
"Ramiro de Maeztu","EL VISO","Chamartín",40.442092981,-3.68614621528,467,487,503,500,488,16,64,14,63,6,67,3,64,0,65,812,815,821,821,843,847,0.790130517112647,64.8690012717925
"Ramón Gómez de la Serna","SAN CRISTOBAL","Villaverde",40.3396932754,-3.68958164226,307,313,283,288,285,6,17,1,17,4,27,16,27,4,28,1001,1049,1104,1111,1100,1125,4.53009360676588,25.9324210477035
"Ramón María del Valle Inclán","HELLIN","San Blas - Canillejas",40.4298542153,-3.61828069823,120,121,110,109,115,7,7,3,3,3,3,0,1,2,2,372,379,396,401,416,388,0.86505922766798,1.97867524835299
"Ramón Pérez de Ayala","CANILLAS","Hortaleza",40.4663499004,-3.63323005426,177,161,157,163,186,7,7,2,4,1,6,1,7,1,1,1918,1899,1918,1902,1881,1865,0.514210306685655,3.50387322039223
"Real Armada","FONTARRON","Moratalaz",40.4017049241,-3.64556313171,373,343,330,293,283,14,14,7,7,10,13,9,9,3,8,740,745,770,772,831,868,4.32212645167972,9.09610415330228
"Regimiento Inmemorial del Rey","MEDIA LEGUA","Moratalaz",40.4073860721,-3.65739096778,265,225,205,182,182,5,7,4,5,5,7,1,3,10,10,771,781,774,803,755,739,3.62450706102288,6.2421394799795
"Reina Victoria","CASTELLANA","Salamanca",40.4335006079,-3.67966874739,263,261,274,273,280,7,15,10,10,8,8,1,11,2,10,672,659,694,707,719,727,1.71218330634644,9.89962968198956
"República de Brasil","SAN FERMIN","Usera",40.3704393979,-3.6899302716,450,457,434,454,432,12,12,5,5,20,20,14,19,0,17,1703,1750,1791,1907,1895,1852,2.63862882416206,16.0419163481015
"República de Chile","SIMANCAS","San Blas - Canillejas",40.4280985248,-3.62478391987,219,193,193,186,175,5,5,2,4,7,8,2,2,1,3,1476,1561,1642,1692,1728,1751,1.42922407150696,3.50933427273879
"República de Colombia","PUERTA BONITA","Carabanchel",40.3759860732,-3.7371297831,142,147,132,133,138,2,2,0,4,2,6,5,12,3,11,1864,1928,1995,1976,2000,1942,1.80961703653406,8.93206673723366
"República de Ecuador","OPAÑEL","Carabanchel",40.387610836,-3.72525078822,316,272,320,331,324,6,9,9,11,9,13,5,16,2,17,1409,1458,1483,1476,1479,1491,2.66043965697159,15.0077578804449
"República de El Salvador","LOS ANGELES","Villaverde",40.3494991115,-3.69794772807,93,113,110,121,139,2,2,6,6,1,2,0,0,1,1,1423,1429,1448,1487,1498,1491,0.462166825162249,1.14396330277238
"República de Panamá nº 1","ARCOS","San Blas - Canillejas",40.4262269,-3.6172453,123,134,131,121,136,2,2,4,6,0,0,1,1,3,6,1809,1802,1775,1643,1563,1528,0.974831632304948,2.50536612675218
"República de Paraguay","VALVERDE","Fuencarral - El Pardo",40.4919481614,-3.69526785667,107,105,115,116,114,2,2,3,5,0,0,0,0,1,2,3919,4312,4790,5169,5600,6012,0.144461355149264,1.01595208529967
"República de Uruguay","LOS CARMENES","Latina",40.3934735007,-3.74123236056,272,259,270,291,297,7,7,5,14,4,10,3,5,4,23,1025,1013,1028,1035,1024,989,2.36841928304373,11.9791630969862
"República de Venezuela","ZOFIO","Usera",40.3835840227,-3.71362671196,343,313,334,325,356,7,7,7,14,7,7,4,7,2,6,753,722,734,716,722,708,2.58634898489004,7.14289657105728
"República Dominicana","BUENAVISTA","Carabanchel",40.3762854322,-3.75219951661,144,141,143,133,142,4,4,4,5,2,4,0,1,0,3,3151,3396,3651,3794,4005,4182,0,2.63792324679201
"Rosa Luxemburgo","ARAVACA","Moncloa - Aravaca",40.4500318182,-3.77157115262,282,303,296,288,297,11,19,18,18,10,12,8,11,5,9,2309,2296,2236,2184,2116,2074,6.02459999704038,11.0313508563804
"Rufino Blanco","TRAFALGAR","Chamberí",40.4382112129,-3.70246046126,292,301,296,288,290,10,13,6,9,2,11,4,6,2,5,918,930,945,930,960,930,1.95148469207694,6.73280347132096
"Sagunto","SAN CRISTOBAL","Villaverde",40.3411624956,-3.68491063157,272,273,286,288,300,6,6,11,11,6,6,1,1,9,19,1001,1049,1104,1111,1100,1125,3.6462432519789,7.17725030950028
"San Benito","CONCEPCION","Ciudad Lineal",40.4442650726,-3.6469252698,117,117,151,179,194,6,8,6,6,6,8,6,6,0,1,953,980,981,987,988,998,1.79527696985967,3.74059966201603
"San Carlos","SAN ANDRES","Villaverde",40.344022214,-3.71114912043,270,272,273,272,289,4,6,11,11,9,13,2,4,2,6,2596,2637,2716,2764,2800,2837,2.38590389706926,6.78012699350638
"San Cristóbal","ARAPILES","Chamberí",40.4374332991,-3.70445676126,200,218,247,254,244,3,3,4,4,8,9,13,15,4,5,941,929,939,920,921,924,5.23806653319098,7.73585987063858
"San Eugenio y San Isidro","ACACIAS","Arganzuela",40.4021347158,-3.70316947249,278,278,289,299,291,7,11,3,8,4,7,1,4,2,4,1646,1594,1554,1485,1448,1420,1.40698913603291,4.94106414625765
"San Ignacio de Loyola","ABRANTES","Carabanchel",40.3848491071,-3.72172209471,151,150,150,152,150,2,23,2,13,3,14,1,17,0,9,1771,1860,1954,2071,2173,2117,0.415147240134071,12.5421314107511
"San Ildefonso","PALACIO","Centro",40.4130796824,-3.71217027214,142,141,132,141,140,3,5,5,6,3,11,3,5,4,5,752,779,790,754,718,698,2.7186511482144,6.03613868049937
"San Isidoro","PACIFICO","Retiro",40.4065086717,-3.6813417079,137,132,135,151,152,2,3,0,2,0,0,1,2,4,4,1403,1410,1378,1329,1328,1291,1.07035431645712,2.08554248028548
"San Juan Bautista","SAN JUAN BAUTISTA","Ciudad Lineal",40.4511607163,-3.65902023952,350,347,333,314,312,3,28,0,33,0,22,0,24,0,26,812,780,756,737,716,738,0,25.2299300065694
"San Juan Bosco","VENTAS","Ciudad Lineal",40.4196837828,-3.6525599142,142,135,144,139,141,3,6,3,4,5,5,4,4,1,1,2101,2139,2152,2168,2106,2077,2.07252428070171,2.75037156546206
"San Juan de la Cruz","NUEVA ESPAÑA","Chamartín",40.459537376,-3.67954186336,97,101,112,102,114,4,4,6,6,5,5,4,4,6,6,1320,1329,1393,1454,1479,1595,4.01984479646219,5.13163115772295
"San Miguel","PINAR DEL REY","Hortaleza",40.4744063898,-3.65222821453,113,128,116,125,131,5,5,11,11,5,7,5,5,4,5,2490,2535,2584,2539,2557,2514,3.81046118578786,5.86281990442107
"San Pablo","PORTAZGO","Puente de Vallecas",40.3893997727,-3.65176088282,133,143,152,152,149,3,11,4,7,12,19,0,11,0,7,1375,1415,1488,1516,1507,1470,0.467378217303129,9.93432004844798
"San Roque","SAN ANDRES","Villaverde",40.3468636797,-3.70319566344,164,173,159,146,143,3,3,2,3,3,5,2,3,1,2,2596,2637,2716,2764,2800,2837,1.05683910678637,2.90574985896559
"Santa María","EMBAJADORES","Centro",40.406129867,-3.7069233554,120,124,124,125,137,2,2,3,4,8,9,3,3,2,7,1361,1422,1503,1512,1498,1462,2.15018093785167,5.47090014399088
"Santo Domingo","PORTAZGO","Puente de Vallecas",40.3920182994,-3.64589479587,294,298,288,301,295,12,15,7,18,14,22,2,12,5,19,1375,1415,1488,1516,1507,1470,3.4393628901528,16.9969185700749
"Tirso de Molina","LEGAZPI","Arganzuela",40.3922430247,-3.68814969139,551,591,599,555,542,14,16,6,17,11,16,5,20,7,17,1212,1268,1291,1354,1368,1410,4.97275567192371,17.6078976878117
"Tomás Bretón","IMPERIAL","Arganzuela",40.4010658346,-3.71586173703,308,310,311,307,310,2,9,6,15,1,11,0,8,2,19,1130,1102,1084,1080,1065,1059,0.512621727171358,12.8780012624006
"Valdebernardo","CASCO H.VICALVARO","Vicálvaro",40.4034059567,-3.61783830192,447,466,470,473,479,8,12,5,11,6,14,10,22,5,18,4385,4598,4834,5005,4910,4888,4.65741020776908,17.1826115852579
"Vasco Núñez de Balboa","VALVERDE","Fuencarral - El Pardo",40.4993973636,-3.68642288628,52,53,62,63,68,1,1,3,3,2,2,2,2,NA,NA,3919,4312,4790,5169,5600,6012,NA,NA
"Vázquez de Mella","PALACIO","Centro",40.4120954295,-3.7139985335,139,140,119,119,131,4,4,3,7,3,7,5,7,5,6,752,779,790,754,718,698,3.3500325534294,6.5534100911779
"Vicálvaro","AMBROZ","Vicálvaro",40.4050257574,-3.60109491852,303,288,291,284,278,6,8,3,5,2,4,1,2,5,7,897,919,969,1002,1054,1070,1.94793593310306,4.3775482432965
"Virgen del Cerro","PORTAZGO","Puente de Vallecas",40.3959553318,-3.64910213702,335,314,298,301,288,3,3,12,15,5,15,0,3,4,11,1375,1415,1488,1516,1507,1470,1.68176325024387,8.53031772797019
"Virgen del Cortijo","VALDEFUENTES","Hortaleza",40.4872539628,-3.66002211857,223,232,240,245,282,7,8,5,5,4,4,13,13,9,13,3861,4140,4400,4746,5271,5661,6.46534647551983,9.45286322725452
"Winston Churchill","CASCO H.VICALVARO","Vicálvaro",40.4029655567,-3.59531392733,393,484,521,537,533,7,18,6,13,3,12,1,10,3,15,4385,4598,4834,5005,4910,4888,1.51663136866309,12.599342464581
